1	Allen, Jake	4.350	4.350	4.350	UFA	
2	Andersen, Frederik	5.000	5.000	5.000	UFA	
9	Anderson, Craig	4.750	4.750	UFA		
	Bachman, Richard	0.675	0.675	UFA		
4	Bernier, Jonathan	3.000	3.000	3.000	UFA	
	Berube, Jean-Francois	0.700	0.700	UFA		
5	Binnington, Jordan	0.650	4.400	4.400	UFA	
3	Bishop, Ben	4.917	4.917	4.917	4.917	4.917
6	Blackwood, Mackenzie	0.913	0.913	RFA		
7	Bobrovsky, Sergei	7.425	10.000	10.000	10.000	10.000
	Bow, Landon	0.698	0.700	RFA		
8	Brossoit, Laurent	0.650	1.225	UFA		
	Budaj, Peter	1.025	RETIRED			
12	Campbell, Jack	0.675	0.675	1.650	1.650	UFA
	Comrie, Eric	0.650	0.700	0.700	RFA	
	Condon, Mike	2.400	2.400	UFA		
13	Copley, Pheonix	0.650	1.100	1.100	1.100	UFA
	Coreau, Jared	0.650	0.700	UFA		
14	Crawford, Corey	6.000	6.000	UFA		
	Dansk, Oscar	0.675	0.675	RFA		
15	Darling, Scott	4.150	UFA			
16	Delia, Collin	0.925	1.000	1.000	1.000	UFA
17	Dell, Aaron	1.900	1.900	UFA		
18	Demko, Thatcher	2.942	1.050	1.050	RFA	
19	DeSmith, Casey	0.675	1.250	1.250	1.250	UFA
20	Domingue, Louis	1.150	1.150	UFA		
21	Dubnyk, Devan	4.333	4.333	4.333	UFA	
22	Elliott, Brian	2.750	2.000	UFA		
42	Fleury, Marc-Andre	5.750	7.000	7.000	7.000	UFA
	Forsberg, Anton	0.750	0.775	UFA		
	Francouz, Pavel	0.690	0.950	UFA		
	Fucale, Zachary	0.650	UFA			
23	Georgiev, Alexandar	0.925	0.925	RFA		
	Gibson, Christopher	0.675	0.675	UFA		
24	Gibson, John	2.300	6.400	6.400	6.400	6.400
	Gillies, Jon	0.750	0.750	RFA		
25	Greiss, Thomas	3.333	3.333	UFA		
	Grosenick, Troy	0.650	0.700	UFA		
26	Grubauer, Philipp	3.333	3.333	3.333	UFA	
27	Halak, Jaroslav	2.750	2.750	UFA		
	Hammond, Andrew	0.650	0.700	UFA		
28	Hart, Carter	0.863	0.863	0.863	RFA	
29	Hellebuyck, Connor	6.167	6.167	6.167	6.167	6.167
30	Hill, Adin	0.925	0.709	RFA		
	Hogberg, Marcus	0.850	0.700	0.700	RFA	
31	Holtby, Braden	6.100	6.100	UFA		
32	Howard, Jimmy	5.292	5.100	UFA		
33	Hutchinson, Michael	1.300	0.700	UFA		
10	Hutton, Carter	2.750	2.750	2.750	UFA	
	Ingram, Connor	0.925	0.925	RFA		
75	Jarry, Tristan	0.675	0.675	RFA		
11	Johnson, Chad	1.750	UFA			
43	Jones, Martin	5.750	5.750	5.750	5.750	5.750
	Kahkonen, Kaapo	0.925	0.925	RFA		
	Kaskisuo, Kasimir	0.675	0.675	RFA		
34	Khudobin, Anton	2.500	2.500	UFA		
35	Kinkaid, Keith	1.250	1.750	UFA		
36	Korpisalo, Joonas	0.900	1.150	RFA		
37	Koskinen, Mikko	2.500	4.500	4.500	4.500	UFA
38	Kuemper, Darcy	1.850	1.850	4.500	4.500	UFA
	Lack, Eddie	0.650	UFA			
	Lagace, Maxime	0.650	0.700	UFA		
39	Lehner, Robin	1.500	5.000	UFA		
	Leighton, Michael	0.650	RETIRED			
	Lindgren, Charlie	0.750	0.750	0.750	UFA	
40	Lundqvist, Henrik	8.500	8.500	8.500	UFA	
41	Luongo, Roberto	5.333	5.333	5.333	5.333	UFA
	Lyon, Alex	0.750	0.750	UFA		
47	Markstrom, Jacob	3.667	3.667	UFA		
	Martin, Spencer	0.650	0.700	RFA		
	Mazanec, Marek	0.650	UFA			
	McCollum, Tom	0.650	UFA			
48	McElhinney, Curtis	0.850	1.300	1.300	UFA	
	McIntyre, Zane	0.650	0.700	UFA		
49	McKenna, Mike	0.700	RETIRED			
59	Miller, Ryan	2.000	2.325	UFA		
50	Montembeault, Samuel	0.925	0.709	RFA		
	Montoya, Al	1.063	UFA			
51	Mrazek, Petr	1.500	3.125	3.125	UFA	
44	Murray, Matt	3.750	3.750	RFA		
	Muse, John	0.650	UFA			
	Nedeljkovic, Alex	0.894	0.738	0.738	RFA	
52	Neuvirth, Michal	2.500	UFA			
53	Niemi, Antti	0.950	KHL			
54	Nilsson, Anders	2.500	2.600	2.600	UFA	
	Pasquale, Edward	0.650	UFA			
55	Petersen, Calvin	0.925	0.858	0.858	0.858	UFA
56	Pickard, Calvin	0.800	0.750	0.750	UFA	
	Point, Colton	0.925	0.925	0.925	RFA	
57	Price, Carey	10.500	10.500	10.500	10.500	10.500
	Primeau, Cayden	NCAA	0.967	0.967	0.967	RFA
58	Quick, Jonathan	5.800	5.800	5.800	5.800	5.800
60	Raanta, Antti	4.250	4.250	4.250	UFA	
69	Rask, Tuukka	7.000	7.000	7.000	UFA	
61	Reimer, James	3.400	3.400	3.400	UFA	
62	Rinne, Pekka	7.000	5.000	5.000	UFA	
63	Rittich, David	0.800	2.750	2.750	UFA	
	Samsonov, Ilya	1.475	1.475	1.475	RFA	
64	Saros, Juuse	1.500	1.500	1.500	RFA	
	Sateri, Harri	0.750	KHL			
65	Schneider, Cory	6.000	6.000	6.000	6.000	UFA
	Smith, Jeremy	0.650	KHL			
45	Smith, Mike	5.667	3.750	UFA		
66	Sparks, Garret	0.675	0.750	UFA		
67	Stalock, Alex	0.650	0.785	0.785	0.785	UFA
68	Stolarz, Anthony	0.761	0.750	0.750	UFA	
46	Subban, Malcolm	0.650	0.850	RFA		
70	Talbot, Cameron	4.167	2.750	UFA		
	Tokarski, Dustin	0.650	UFA			
71	Ullmark, Linus	0.750	1.325	RFA		
72	Varlamov, Semyon	5.900	5.000	5.000	5.000	5.000
73	Vasilevskiy, Andrei	3.500	3.500	9.500	9.500	9.500
74	Ward, Cam	3.000	RETIRED			
	Wedgewood, Scott	0.700	0.700	UFA		
